avg_energy_usage,avg_water_usage,avg_transport_distance,avg_recycling_percentage,avg_efficiency,total_energy_usage,total_water_usage,product_lifetime,reuse_percentage,recycle_percentage,landfill_percentage,metal_type,production_route,region,sustainability_score,circularity_index,co2_emissions
8.74,4.66,1148.3,64.8,87.4,3539.34,3129.61,22,40.6,12.7,46.7,Iron Ore,Secondary,Asia,5.29,0.53,408.74
19.11,4.46,1612.8,17.2,86.1,6999.35,562.1,26,11.3,30.8,57.9,Steel,Primary,Oceania,4.69,0.42,829.38
15.18,13.69,1522.7,87.2,63.6,3299.32,3836.12,27,26.3,22.8,50.9,Zinc,Primary,Europe,4.36,0.49,569.98
12.78,4.49,316.3,61.3,95.1,8011.82,3524.63,3,6.4,1.9,91.7,Iron Ore,Primary,North America,3.27,0.08,1058.69
4.81,4.81,307.0,15.7,81.6,2418.43,2656.33,27,23.7,1.7,74.6,Zinc,Secondary,South America,3.72,0.25,442.19
4.81,11.63,543.7,96.2,73.8,4196.32,10834.17,18,27.9,4.5,67.6,Aluminum,Primary,Europe,3.83,0.32,658.49
3.05,7.3,728.5,51.8,88.7,245.54,3338.39,23,22.3,17.7,60.0,Titanium,Secondary,South America,4.66,0.4,32.64
17.59,11.87,822.8,7.3,69.8,11638.86,10401.94,8,3.5,0.3,96.2,Zinc,Primary,Oceania,2.28,0.04,1899.24
12.82,1.92,1362.6,62.7,86.4,9932.95,914.89,26,24.2,24.7,51.1,Zinc,Primary,South America,5.04,0.49,553.79
14.75,7.83,122.8,25.3,61.5,11379.81,7675.64,1,23.4,18.0,58.6,Iron Ore,Secondary,Oceania,3.91,0.41,615.22
2.37,1.47,79.0,80.4,91.9,2113.5,1413.91,14,13.1,27.8,59.1,Lead,Secondary,Asia,4.8,0.41,132.1
19.46,1.88,789.9,81.8,77.0,14450.65,681.84,22,46.1,36.0,17.9,Iron Ore,Secondary,Africa,6.41,0.82,1671.0
16.98,13.69,1397.4,97.9,84.2,15815.5,12206.38,23,20.9,12.5,66.6,Iron Ore,Primary,North America,4.2,0.33,1349.34
5.82,2.95,394.9,50.2,68.4,2130.26,2522.93,13,43.2,7.9,48.9,Steel,Secondary,North America,4.61,0.51,421.02
5.27,8.45,1286.6,45.5,85.7,2782.82,2113.74,25,5.5,13.9,80.6,Lead,Secondary,Europe,3.54,0.19,365.51
5.3,6.76,527.1,75.3,89.3,335.89,4347.19,12,15.9,0.1,84.0,Titanium,Primary,North America,3.48,0.16,50.17
7.48,5.86,1773.3,13.2,78.0,423.44,697.62,3,8.8,6.0,85.2,Steel,Secondary,Asia,3.08,0.15,38.88
